titulo;label;n_token
U.S. attorney general to meet with House intelligence panel;0;14
London police give all clear, lift cordon in financial district;0;14
 Internet Collectively Cringes After Photographer Snaps Pic Of Trump’s Nutsack;1;17
Turkish embassy in U.S. says resumes processing visas on 'limited basis';0;19
Deficit worries complicate path for Republican tax cuts;0;12
BRAINIAC Gets Rejected After Trying To Buy BMW With EBT Card…What Happens Next Is HYSTERICAL!;1;22
Islamic Jihadi Slams into California Veteran’s Car at 100mph: “It was in the Name of Allah!”;1;27
9 Guantánamo Prisoners From Yemen Are Sent to Saudi Arabia - The New York Times;0;17
Hillary Responds To Creepy Joe Biden Caught Groping Dozens of Young Women;1;16
Senate tees up 'accountability act' as regulation fight intensifies;0;16
Kenya's opposition says postpones 'swearing-in' of alternative president;0;18
U.S.-UK partnership on security remains strong: U.S. intelligence;0;19
DOJ BLOCKED INVESTIGATION AFTER FBI AGENTS Discovered 650,000 Emails: “Pissed Off”;1;19
Hannity Interview with Julian Assange: Wikileaks Source is NOT The Russian Government;1;20
 WATCH: Adviser Who Wrote Trump’s Tax Plan Says You Will Be Able To Buy A NEW Car For $1,000;1;27
’Psychological Problems’: Police Open Fire on Knife Attacker in Southern France, At Least One Other Injured;0;22
Trump has a challenge with white women: ‘You just want to smack him’;0;18
FACEBOOK’S VP Of Ads BLASTS MEDIA: Majority Of Russian Ad Spend Happened AFTER Election…Media Knows Truth But Won’t Report It “Because It Doesn’t Align With Narrative of Trump And The Election”;1;44
 Kansas Governor Wants To Steal Money From State Investment Fund To Cover Budget Disaster He Caused;1;18
Body parts found in suitcase left on sidewalk;0;10
Merkel tries to build coalition after vote that puts far right in parliament;0;16
WATCH: JOEL OSTEEN FACES WRATH OF ANGRY CHRISTIANS After He Gives Reason For Locking Church Doors To Devastated Houston Flood Victims;1;26
Lawmakers vow to fight proposed cuts in Chesapeake, Great Lakes clean-ups;0;17
Guilty Verdict Returned In 'American Sniper' Murder Trial;0;12
Sharapova becomes UN Ambassador for global drug runners!;1;14
She Was No Bird: ‘Jane Eyre’ Manuscript on First Trip to America - The New York Times;0;22
English Village Becomes Climate Leader by Quietly Cleaning Up Its Own Patch - The New York Times;0;19
‘I Am Ashamed’ vs. ‘Get Over It’: U.K. Parliament Debates Trump Visit - The New York Times;0;28
NFL Deletes Questions on Trump and Commissioner Goodell in Super Bowl Media Transcript - Breitbart;0;23
Guilt By Association Smear In NYT Gets Virginia Dare Wrong AGAIN;1;15
Dr. Duke and Andrew Anglin discuss the most important vote and election of our lives!;1;20
U.S. says war crimes probe of U.S. forces in Afghanistan unwarranted;0;22
Sex Differences in the Right Tail of Cognitive Abilities: An Update and Cross Cultural Extension;1;18
Exclusive: China curbs tourism to North Korea ahead of Trump visit - sources;0;17
White House study: China trade deal worsens damage from TPP failure;0;16
How to Get Better Returns on Savings - The New York Times;0;14
Obama expands Hawaii marine reserve in final push on climate;0;12
PRO-LIFE LICENSE PLATE DEEMED ‘Patently Offensive’ BY FEDERAL APPEALS COURT;1;17
Bare-breasted FEMEN activist grabs Trump statue by crotch;0;14
U.S. Senate panel targets Chinese banks with North Korea sanctions;0;15
 Curt Schilling Wants Elizabeth Warren’s Seat But Dammit He Just Can’t Figure Out These Jews (VIDEO);1;26
Tillerson consulted Britain, China, France, Russia on Iran;0;14
Kremlin denies allegations it violated U.S. missile treaty;0;15
TOP POLLSTER: Trump Could Create Permanent Majority…Change Politics As We Know It [Video];1;21
Colombia defends anti-drug efforts after Trump critique;0;12
Will Trump Be Different than Hillary Or Obama? SoT #125;1;15
 Trump’s Ineptitude Causes HUGE Drop In Investment, Future Of Our Nation Is In Peril (DETAILS);1;25
Maggie Hassan Unseats Kelly Ayotte in New Hampshire Senate Race - The New York Times;0;21
 WATCH: Anderson Cooper Schools Kellyanne Conway So Hard She Becomes A Rambling Mess;1;18
Maine governor orders partial shutdown with budget in limbo;0;13
Hacked Podesta Email Reveals Clinton Foundation “Coercing” Saudi Billionaire For Millions Of Dollars;1;21
Saudi Arabia says foils Islamic State bomb, foreign spying plots;0;14
 Trump Just Got BURNED In An Epic Poem Written By A 14-Year-Old Boy;1;19
 New Expose Details Just How Terrible Donald Trump REALLY Is With Women;1;14
 Black Protester SHUTS DOWN Fox Reporter On Live TV For ‘F***ing Fabricated Story’ (VIDEO);1;26
 American Intelligence Agents Fear Giving Trump Intel Because The Russians Are Listening;1;14
America’s Kosher Conservatives are Alarmed at the Sight of Real Conservatism;1;19
North Korea images suggest missile capable of hitting all America: U.S. experts;0;18
 Here Is A Comprehensive And Up To Date List Of All The Allies Trump Has Offended;1;18
Trump considers trade order that could lead to duties: official;0;13
 GOP Strategist STUNS As She Calls Trump Not Endorsing Republicans A ‘Badge Of Honor’ (VIDEO/TWEETS);1;31
REDUX 1963? The Deep State vs Donald Trump;1;12
Iowa kicks off 2016 U.S. presidential race with caucus tradition ;0;15
Trump considering how move of U.S. Embassy in Israel could affect Mideast peace;0;20
 Ted Cruz Was Snubbed For A Job In The Dubya Administration–You’re Gonna LOVE The Reason;1;24
WATCH: ’Kill Jews, Americans’ - Osama Bin Laden’s Son Calls for Global Terrorist Attacks;0;23
HE’S OFF HIS ROCKER! JOHN KERRY MAKES OUTRAGEOUS STATEMENT On The Cause Of Terrorism;1;19
Washington War Party Urges Obama to Go to War Against Assad & the Russians - Christoph Germann;1;21
 SHAME: Desperate Rubio Repeatedly Tries To Pin ALL Blame For 9/11 On Clinton (VIDEO);1;22
John Podesta Told Cheryl Mills ‘Dump All Those Emails’ on Day News of Clinton’s Private Email Server Broke;1;26
U.S. will strengthen Pacific allies against North Korea hostility: official;0;16
WH Press Secretary Says Obama's Denial About Clinton Server Was 'Entirely Factual';1;19
HOW NEWSWEEK ACCUSES Melania and Ivanka Of Sending Sexual Signals Will Even Make Trump-Haters Laugh;1;23
IS AN UGLY REVOLT INEVITABLE? Bernie Sanders Supporters Are Asked If They’ll Vote For Hillary If Bernie Loses Nomination [VIDEO];1;27
After Russia, Iran seeks deal for long-term Syria garrison: Israel;0;16
Off Long Island, Wind Power Tests the Waters - The New York Times;0;16
State Department vetted Bill Clinton’s contacts, emails show;0;14
McAuliffe on Hillary: ’We Have Just Got to Move On’ - Breitbart;0;22
LIKE FROM A MOVIE, MIKE PENCE DID SOMETHING AMAZING AT A TRUMP RALLY TODAY!;1;19
UK's Mr Brexit says no vacancy for ambassador to United States;0;17
Trump a 'monster' spawned by Republicans: Senate Democratic leader;0;14
Robert Scheer and Amy Trask Discuss Gender, Race and Profit in the World of Professional Sports;1;22
NATO Vassals Eager to Poke the Bear in Black Sea;1;13
Menendez Grills Tillerson on Mexico: Communists Build Walls Like in Berlin - Breitbart;0;22
CHELSEA CLINTON Confronted by Woman at Book Signing: “Can you sign this for my friend Juanita Broaddrick” [Video];1;27
The American Who Accidentally Became a Chinese Movie Star - The New York Times;0;16
Half of Republicans would reject election result if Clinton wins: Reuters/Ipsos;0;17
U.S. court deals Trump a setback in poll-monitor fight;0;17
Before the Flood (2016);1;8
Erdogan says Turkey will close Iraq border and air space soon;0;15
China says North Korea quake not nuclear explosion;0;10
M.T.A. Shortens L Train Shutdown to 15 Months - The New York Times;0;22
Desecrating the Koran? Police Arrest 9-Year-Old Christian Boy, Torture Him for Days and Attempt to put Him on Death Row;1;31
Wal-Mart reopens most Gulf region stores after Harvey;0;14
Is Donald Trump a victim of US Propaganda?;1;11
Senate Republican signals possible committee 'no' vote on tax bill;0;14
Holiday Movies to See (or Skip) - The New York Times;0;15
Gove criticised for leaving Boris unattended;1;11
DOJ Tried Repeatedly To Kill FBI’s Clinton Foundation Investigation;1;14
Sanders says to lay off hundreds of campaign workers: NY Times;0;14
Top Mexico university blames deadly bridge collapse on weak supports;0;13
Black American Anti-Imperialism: an Invisible Subject for the New York Times;1;16
Rieder: Charlie Hebdo goes on, and that matters;0;16
Job Loss due to Immigrants;1;7
Exclusive: White House delivered EU-skeptic message before Pence visit - sources;0;19
The Firefighter’s Prophecy: Is Trump God’s Man?;1;16
Donald Trump, ‘Brexit,’ Syria: Your Morning Briefing - The New York Times;0;21
Look At The Stunning Levels Of Extreme Action In Gold, Silver, U.S. Dollar And The Stock Market;1;24
BURN! NYT TAKES JAB AT FOX NEWS…Watch How FOX Got Even in a Big Way! [Video];1;26
Israeli jets break sound barrier in south Lebanon causing damage;0;12
Macron enacts public ethics law with a whiff of U.S.-style razzmatazz;0;25
Donald Trump Jr. Criticizes London Mayor After Deadly Attack - The New York Times;0;18
G7 Fashion: First Lady Melania Trump Outshines Fellow NATO Spouses In Blossoming Ensemble;0;22
Factbox: About 5.8 million without power in U.S. Southeast after Irma -  utilities;0;23
 Former CIA/NSA Chief Says Trump’s Unlawful Orders Would NOT Be Followed By The Armed Forces (VIDEO);1;24
Strong quake near Mexico City kills at least 226, rescuers dig through collapsed buildings;0;18
Russian bases in Syria are protected by air defense missiles: RIA;0;15
Every American Knows a 'Gerald' in Their Neighborhood -- His Wife Wants You to Re-elect Him...Please;1;27
‘Lula,’ Brazil’s Ex-President, Is Charged With Corruption - The New York Times;0;23
Gun control becomes a litmus test in Democratic primaries;0;12
U.N. tells Australia to restore food, water supplies to PNG refugees;0;18
New fires ravage Rohingya villages in northwest Myanmar: sources;0;16
 Trump Responds To Devastating Clinton Attack By Slamming Her Looks;1;12
Steady U.S. Job Growth Sets Stage for Fed to Raise Interest Rates - The New York Times;0;22
Interview: Why did Quito cut Assange’s access to the Internet?;1;18
Police fire rubber bullets at pipeline protesters;1;9
Poll: Hillary Clinton, Bernie Sanders both top Trump;0;12
Obama says more must be done to address U.S. police shootings;0;17
Vitamins Gone Gummy - The New York Times;0;12
Difficult migration debate looms as African and EU leaders meet;0;13
NYT: ’Bill Maher and Milo Yiannopoulos Find Common Ground’ - Breitbart;0;24
[VIDEO] RUBIO GETS WALLOPED IN FL…Blames GOP Establishment For Rise Of Trump…SUSPENDS Campaign;1;26
IS THIS THE MOMENT THAT TRUMP DECIDED TO RUN FOR PRESIDENT? WATCH TRUMP As Cruel Jokes Are Made About A Possible Trump Presidency [Video];1;29
Iraqi army helicopter crash kills seven, military says;0;11
ERIC TRUMP REMOVES ANY DOUBT About International Business Deals With HUGE Announcement: “It’s The Right Thing To Do” [VIDEO];1;28
HUNGARY’S BADASS PRIME MINISTER Responds To Threats From EU…And His Response Is Making Everyone Want To Stand Up And Cheer! [VIDEO];1;31
The U.S./Turkey Plan For “Seizing, Holding, And Occupying” Syrian Territory In Raqqa;1;25
 ‘Pissed As Hell’ Oregon Rancher FURIOUS At Bundy Militia: ‘This Is My Home!’ (VIDEO);1;26
AFL-CIO political committee recommends Clinton endorsement;0;11
A Bumblebee Gets New Protection on Obama’s Way Out - The New York Times;0;20
MEDIA SPIN ALERT! FBI Does a “Predawn Raid” on Paul Manafort? Not Hillary, Rice, Lynch or Powers?;1;29
Trump strongly considering naming campaign chief Bannon as chief of staff: CNN;0;16
Arrested Protester of Baton Rouge Police Shooting Files Suit - The New York Times;0;17
ANTHONY WEINER CAUGHT AGAIN: Sends Kinky Shot To Brunette With 4-Year Old Son Next To Him;1;23
Clinton secures Mark Cuban's endorsement in Pittsburgh;0;12
Syrian Kurdish leaders back longer U.S role in Syria;0;13
The Foul Stench of Fascism in the US    : Information;1;12
Thanks To Recreational Marijuana Being Passed, Californians’ Former Charges Are Being Downgraded;1;19
OBAMACARE AND THE FORGOTTEN FAMILY: A Tale Of How The Middle Class Was Royally Scr*wed By Washington [Video];1;28
SHARIA LAWYER: Why Muslims are Less Likely to Integrate into Western Nations [Video];1;19
Naomie Harris: A Chameleon on Screen and Off - The New York Times;0;19
Democrats Skip Votes, Delaying Confirmation of Trump Nominees - The New York Times;0;16
NOW FIVE FBI FIELD OFFICES ARE PROBING CLINTON CHARITY, ADDING FUEL TO THE FIRE;1;17
Clinton rolls out wide-ranging technology agenda;0;10
Boiler Room EP #69 – CULTure Club;1;10
Liberal Establishment in Meltdown Over Trump Immigration Pause;0;11
Politico: Democrats Complain DHS John Kelly Is Not Following Their Commands;0;17
Confessed Clinton-hit man, Larry Nichols: “HILLARY MUST BE STOPPED”!;1;18
Even Hillary’s Niece Is Voting Trump;1;10
He who has no name speaks: Italian earthquakes were retribution for anti-Jewish UNESCO vote;1;19
Trump says considering having both Powell and Taylor serve at Fed;0;13
 N.C. NAACP Plans Sit-Ins To Force Repeal Of Anti-Gay Law;1;19
SHOUT POLL: Will Donald Trump hold his lead, or will he tank?;1;17
Trump On Gingrich’s Exchange With Megyn Kelly: “We Don’t Play Games”;1;23
Trump taps Montana Congressman Zinke to lead Interior Department;0;13
Bye Bye Cowboys! Crowd Boos As Owner Jerry Jones Kneels With Team Before Anthem #BoycottNFL [Video];1;26
Philippine leader says 'no way' he'll do deal with Islamist rebels;0;17
 The Internet Isn’t Buying GOP Chair’s Blasting Of David Duke (TWEETS);1;22
PINKERTON: How Republicans Should Address the Hostile Obamacare Town Halls;0;15
MEDIA SILENT: President Trump Makes Americans $4 TRILLION Richer In First 6 Months…Compare To Obama’s Radical First 6 Months In Office;1;29
Why Bernie Sanders's campaign makes me worry about how he’ll manage the White House;0;20
Murder and money laundering in Malta -- a challenge for EU;0;14
HIV ‘Cure’ Almost Complete after Scientists Remove Virus’s DNA from Living Tissue;1;18
How Hillary Clinton Grappled With Bill Clinton’s Infidelity, and His Accusers - The New York Times;0;26
Living in Darkness, but Holding On to Hope in Liberia - The New York Times;0;18
Don't blame our sanctions, U.S. tells nervous Iran investors;0;17
 WATCH: Bill Maher Explains How Republicans Get Away With Their Outrageous Lies;1;16
Apple shares are one reason hedge funds lag mutual funds in 2016;0;15
 HILARIOUS: Team Trump PANICKING As Pop Stars Reject His Hate, Refuse To Show Up For Inauguration;1;21
BOOM! HARVARD LAW DEMOCRAT ALAN DERSHOWITZ Destroys The Left’s “Unconstitutional” Argument Against Donald Trump Jr. [Video];1;28
Somalia's top military chiefs resign, no reason given;0;13
Republican convention’s ‘non-conventional’ list: Model, astronaut and Trump clan;0;19
WHY DID PRESIDENT TRUMP Receive 100 Day Scrutiny While Other Presidents Got A Pass [Video];1;19
 Rubio Just Kissed His Political Career Goodbye With One Tweet And The Internet Is Letting Him Know;1;22
ERICA GARNER BLASTS CLINTON CAMPAIGN OVER DISCUSSIONS STAFFERS HAD ABOUT HER FATHER’S DEATH IN WIKILEAKS EMAILS;1;24
Comment on Bioethicists: Conscientious objectors to euthanasia and abortion should be banned from medical schools by stevor;1;30
WOW! HILLARY SUPPORTER CAUGHT On Undercover Camera Saying “It’s Okay” To Rip Up Republican Voter Registrations [VIDEO];1;27
Syrian army strikes rebels near Hama: monitor;0;11
Trump Announces New Cabinet Appointees-Coincidentally, Most Are Former Celebrity Apprentice Contestants;1;17
They Said What?!: Find Out What Denzel Washington, Meek Mill, And Kesha Have To Say;1;24
California Braces for More Rain. How Bad Can It Get? - The New York Times;0;20
 DNC Insiders Vote To Take Bernie’s Win In New Hampshire Away From Him (IMAGES);1;22
 Michelle Obama EVISCERATES Hateful Trump In Final Commencement Speech And It Is GLORIOUS (VIDEO);1;22
A Must-Win Debate for Donald Trump, but Not a Must-Rehearse One - The New York Times;0;25
SHAKEDOWN AL SHARPTON MEETS WITH GM TO PRESSURE THEM INTO DROPPING KID ROCK OVER CONFEDERATEF FLAG [Video];1;24
Trump aide says U.S. sanctions on Russia may be disproportionate;0;20
New Trump travel order expected in coming days, Pence says;0;14
U.S. warns North Korea of 'overwhelming' response if nuclear arms used;0;18
Scotland warns of no access to EU single market after Brexit;1;15
Rand Paul's accused attacker pleads not guilty to assault;0;14
STRAIGHT FROM THE HEART! Pres. Trump Speaks To LEO’s About Executive Order: “I listened to a bunch of stuff last night on television that was disgraceful.” [Video];1;41
If Donald Trump wants to beat Hillary Clinton, he needs to win these 5 states;0;18
Factbox: Over four million lose power in Florida from Irma, utilities say;0;18
Re: The Election Of Donald Trump Is Already Having An Enormous Impact On The Economy;1;18
 DOJ Tells North Carolina Republicans That Anti-LGBT Law Violates Civil Rights Act;1;18
BREAKING: MORE HACKED E-MAILS From DNC Released By A Vengeful Guccifer;1;22
Democratic presidential candidates get chance for seventh debate;0;10
The Trump Election Will Spark More Individual & Collective Healing;1;12
Jill Abramson: ’Extremely Divisive’ Trump Is Benefiting From a ’Rage Machine’ - Breitbart;0;27
TINA FEY Blasts ONLY White Women For Voting For Trump: “You can’t look away”…This White Woman Has A Question For Tina Fey!;1;32
Army commander dismisses general's hint at army intervention in Brazil: reports;0;17
Love Him or Hate Him, Anderson Cooper Just Put a 3rd Degree Burn on Newt for Megyn Kelly 'Sex' Insult;1;26
Trump’s $1.6 Billion Budget for Border Walls -- Mostly for South Texas;0;20
Merkel's conservatives keen, but SPD still coy on German government talks;0;18
Wake up, America. Our country is upside down;0;12
Turkey’s Erdogan Tells EU to ’Forget About’ Migrant Deal After Dutch Row - Breitbart;0;25
Supreme Court Tie Blocks Obama Immigration Plan - The New York Times;0;14
Departure of communications aide could be first in Trump shake-up;0;14
Museum Trustee, a Trump Donor, Supports Groups That Deny Climate Change - The New York Times;0;20
"Indian tycoon's extradition hearing told of abuse of UK ""Chennai Six""";0;20
 Trump’s List Of ‘Unreported’ Terror Attacks Is Out, And It’s ABSURD (CITATIONS);1;26
Pollster Sees No Early Impact From Comey Clinton FBI Email Letter In Swing States;1;18
 Bundy Terrorists Dug Feces-Filled Trench On Sacred Land, Left All Kinds Of Stuff Behind;1;21
These Celebrities Just Made An Anti-Trump Video For The Ages;1;14
U.S. renews call for Cambodia to release opposition leader from prison;0;17
A List of Priorities From Trump, and Kris Kobach Tips His Hand - The New York Times;0;21
Ne supportant plus l’ambiance de la campagne électorale, un Français chanceux décide d’aller vivre dans l’espace >> Le Gorafi;1;39
USMC War Vet Faces Prison for Legally Owned Gun Unregistered in New Jersey - Breitbart;0;24
Putin Ready to Restore Relations With US;1;9
 Neil DeGrasse Tyson Just Called Trump Supporters Dumb, And It’s Priceless (VIDEO);1;22
 Trump Targets Clean Water And Clean Air Regulations At Environmental Protection Agency;1;14
Trump, declining to provide evidence, says thinks Obama adviser Rice committed crime: NYT;0;19
Syrian President Bashar al-Assad, welcomes the Prime Minister and Internal Trade and Consumer Protection Minister;1;23
Harry Reid Calls Trade Push By Obama And GOP 'Insanity';0;15
Hope evaporating, a grim wait for relatives after Mexico quake;0;15
Trump Attacks Hillary: “She is a world class liar!”;1;15
FATHER OF SOLDIER SLAIN IN NIGER Defends President Trump: “My Son Knew What He Signed Up For”…This Is “Not About Donald Trump And This Isn’t About a Damn Phone Call!”;1;43
"""KID ROCK Sneaks Into Hillary Clinton Event To Shout""""Vote Donald Trump"""" During Rally""
";1;23
U.N. special envoy urges Poland to open up debate on judicial reform;0;17
 Joe Biden Is BACK: SAVAGES The GOP’s Deadly ‘Healthcare’ Bill In BRUTAL Tweetstorm;1;26
Will the anti-Clinton revolt among American elites gain momentum?;1;14
For ‘S.N.L.,’ Clinton-Trump Has Been a Blessing and a Curse - The New York Times;0;27
BREAKING WIKILEAKS BOMBSHELL! Murdered DNC Staffer Seth Rich Was DNC LEAKER: “He Was My Whistleblower”;1;31
 Everyone KNEW Trump Would Be Golfing Again – So Protesters Were Totally Ready When He Showed Up;1;20
 What ‘States Rights?’ – Ted Cruz Calls For Federal Law To Crush ALL Labor Unions Nationwide;1;21
Malaysian police say they foiled attack on SEA Games closing ceremony;0;14
Hungary calls EU court's refugee ruling 'appalling';0;15
Extremes of devotion mark last goodbye to Thai king;0;11
Report: Colin Kaepernick to Stand for National Anthem in 2017 - Breitbart;0;21
WARNING: FEDS PREDICT $30 TRILLION DOLLAR DEBT Because Of These Two Key Things;1;18
Steve King, Hurling Insults at Immigrants, Is Rebuked by His Own Party - The New York Times;0;23
Pennsylvania glitches did not cause ballots to be miscounted: officials;0;18
’White Devils’: Muhammad Ali’s Racist Mosque Speeches Revealed - Breitbart;0;20
CIA director says he would resign if ordered to resume waterboarding;0;14
Nine killed by Nusra Front car bomb in southwest Syria: state media;0;17
Colombia arrests local director of Portugal's J.Martins on corruption charges;0;16
Irish PM sees Brexit talks moving to next stage in December;0;15
(VIDEO) TREY GOWDY ON BENGHAZI AND POSSIBILITY OF KERRY TESTIFYING;1;19
NY Mayoral Candidate Bo Dietl: ’Send the MS-13 Gang Over to Gracie Mansion’ - Breitbart;0;26
Family of Nine Asylum Seekers Accused of Gang-Rape Attack;0;13
 WAPO: Trump Planning To Go Around Senate To Replace Sessions With A Loyal Stooge;1;20
4 Die in Jerusalem Attack as Palestinian Rams Truck Into Soldiers - The New York Times;0;18
 Angry Constituents HILARIOUSLY Shame Their GOP Reps For Being Too Cowardly To Face Them (IMAGES);1;23
SENATOR GILLIBRAND Pulled Strings So Muslim Athlete Who Molested 12-Year Old Girl Could Come To U.S. After His Visa Was Denied;1;31
Turkey's Erdogan says may shut Iraqi border any moment: Hurriyet;0;20
Pelosi Calls on Speaker Ryan to Reconvene Congress for Syria Debate - Breitbart;0;23
 This Republican Just Gave The Most Honest Response EVER To A Letter From One Of His Constituents;1;19
UAE diplomat summoned by Turkish ministry over Ottoman tweet;0;13
 BREAKING: Stunning Development In Trump Fraud Case Shows How Terrifyingly Deep His Corruption Will Go;1;19
 Fox News Shows REAL REACTION From Demoralized GOP Focus Group Full Of Trump Supporters (VIDEO);1;22
 CNN Host Tells Senate Republican To Do His Damn Job (VIDEO);1;15
Duterte Says ’Spare No One’ as Islamic State Beheads Police Chief, Stages Mass Prison Break;0;23
 ‘The Black Room’ Revealed: Fox News’ Secret Spy Network Used To Hunt Enemies;1;19
 Woman Who Made Viral ‘Naked Trump’ Painting Was Assaulted, Beaten Near Her Home (IMAGES);1;21
HARD CORE: Ten GITMO Detainees Released To Oman;1;13
Australia's High Court to rule in new citizenship test case;0;14
Elliott Abrams is Trump's leading candidate for deputy secretary of state: source;0;17
Clinton Kicks Huma Abedin From Plane As FBI Obtain Warrant;1;14
Hillary Supporters Jay-Z And Beyonce Are Members Of Aleister Crowley’s Satanic Cult OTO;1;22
Watch as Russia launches its latest super-stealth submarine;1;12
Obama to Republican leaders: why are you still endorsing Trump?;0;16
Trump Says the U.S. Should Expand Its Nuclear Capacity - The New York Times;0;19
New York City mayor tells Trump about fear over his policies;0;13
EU's Juncker says assumes won't end up with 'no deal' on Brexit;0;23
South Korea calls for 'bone-numbing' sanctions on North for nuclear test;0;18
Xi wants China to spruce up toilets to boost tourism, quality of life;0;16
CAUGHT ON TAPE: HORRIFIC ISLAMIC TERROR IN GERMANY…Terrorist Shouts “Allahu Akbar!”…Children Targeted;1;23
 Denver Police Officer Literally Tells Protesters To Stop Doing Anything That’s Free Speech;1;17
It’s a bit off to do a sick burn on your wife via her grave stone;1;20
Lawmakers say Ross defers to Trump on U.S. steel tariff timing;0;18
 The Satanic Temple Trolls Anti-Abortion Fanatics Into Stunned Silence (VIDEOS);1;18
Netanyahu signals Israel will act with free hand in Syria;0;14
Trump says open to bilateral Canada, Mexico pacts if NAFTA talks fail;0;18
Unsuspected Americans will be drafted for World War 3;1;14
Supreme Court will hear case on bathroom rules for transgender students;1;13
Nikki Haley Leads Walkout on UN Nuclear Weapons Ban Meeting - Breitbart;0;18
WOW! HILLARY PRETENDED To Be Relaxing…But She’s Been Scheming To Steal Presidency From Trump Since Morning After Election;1;27
5-STAR MOOCH Tells Graduates: “Every Single Day, I Wake Up In A House That Was Built By Slaves” [VIDEO];1;30
Two-Hour Marathon. Can It Be Done? - The New York Times;0;17
Game over for 'discredited' Catalan referendum, Spanish officials say;0;16
The Hulk Actor Mark Ruffalo Has Joined Standing Rock to Protest DAPL;1;17
"""Hamilton"" Actor Refuses To Apologize For Political Stunt";1;12
Comment on Cop’s Attempt to Abuse His Authority During Fit of Road Rage is Shutdown by Informed Citizen by Jynxster;1;28
Fighting travel ban is gamble for Democratic officials in Trump states;0;13
SHE GREW UP BELIEVING BLACKS Could Only Support Democrats…Until She Took A Job With ACORN: WATCH The INCREDIBLE Story Of A Woman Who Took On Obama’s LEFTIST MACHINE [VIDEO];1;39
Trump spokesman sparks outcry by comparing Assad to Hitler;0;14
Lindsey Graham Wants Trump To Put Ted Cruz On The Supreme Court Bench;1;15
 Reagan’s Son SLAMS Trump: If My Father Was Alive He Wouldn’t Vote For GOP Nominee (TWEETS);1;28
 Trump Brags About Gas Prices And Gets HUMILIATED With Facts;1;13
Senators urge regulators to ID vehicles with possible faulty Takata air bags;0;15
New U.S. U.N. envoy warns allies: back us or we'll take names;0;23
Trump likely to reward loyalty with top appointments;0;10
Coke Zero: What Went Wrong With The Marco Rubio Brand?;1;15
Diez reglas básicas para que tu casa cumpla los principios del “Feng Shui”;1;26
TRUMP GIVES BRUTAL WARNING To Lawless Sanctuary Cities…There’s A New Sheriff In Town [Video];1;23
 Hillary Responds To Trump On Twitter And HILARIOUSLY Fact Checks Him (TWEET);1;19
NEWT GINGRICH Punches Back At Democrats With Mega Doses Of TRUTH On The BOGUS Russia Scandal: “This is a cultural civil war” [Video];1;33
Iraqi Forces Enter Western Mosul, in Fierce Battle Against ISIS - The New York Times;0;19
ZING! SARAH SANDERS Calls Out Sen. Bob Corker For ‘Grandstanding’ [Video];1;22
Former U.S. intelligence chief rejects Trump wiretap accusation;0;15
Iraqi forces retake border crossing with Syria from Islamic State, Shi'ite militias say;0;20
House panel okays Dodd-Frank revamp amid partisan rancor;0;15
Vietnam dissident's daughter calls on Melania Trump for help;0;16
Georgian president reluctantly signs new constitution into law;0;10
Mali's president contradicts French account of military strike;0;14
Comey Crawl: D.C. Bars Plan Testimony Drink Special Bonanza on Thursday Morning - Breitbart;0;25
U.S. wants to see North Korea sanctions bite, no options ruled out;0;18
Trump edges ahead of Clinton in U.S. presidential race: Reuters/Ipsos poll;0;20
ATF Permanently Relocating More Agents to Violence-Plagued Chicago - Breitbart;0;18
Lawyer for Egypt's ex-premier meets him at Cairo hotel: Facebook statement;0;18
Prosecutors Say Baltimore Police Mishandled Freddie Gray Case - The New York Times;0;17
 Donald Trump Just Posted A BRUTAL Video That Shows How Much Everyone Hates Ted Cruz (VIDEO);1;20
Pelosi: ‘It’s Hard’ to Say ’President Trump,’ He Has No Respect For the Job - Breitbart;0;31
TRUMP SAYS “NO” To Pro-Amnesty Koch Brother’s Influence…Won’t Meet With Them;1;23
 Court Forces Ohio To Allow Millions Of Illegally Purged Voters Back On The Rolls;1;17
NATO declares full combat readiness because of conflict with Russia;1;12
Russia: Syria opposition sabotages Geneva talks to ruin proposed national congress: TASS;0;18
A cell signal, an open bar: tiny wins for Puerto Rico in ruins;0;17
At least 61 dead after days of violence in Ethiopia's Oromiya region;0;17
At Cafe Milano, Politicians Are Served Dinner and Peace of Mind - The New York Times;0;19
Mosul will not be taken, ISIS will not be destroyed;1;14
LIBERAL HACK KATIE COURIC Says Fake News Is “Tearing [America] Apart”…Doesn’t Mention $12 MILLION Dollar Lawsuit Against Her For Producing Edited Story To Push Gun Control [VIDEO];1;42
Senate blocks Democratic plan to expand gun background checks;0;11
Islamic State loses al-Mayadeen in eastern Syria: military source;0;16
Meet The Man Who Started The Illuminati;1;12
Interview: Sarah Anastasia, Muslim Makeup Artist And Skin Care Consultant;1;14
WATCH: GERALDO RIVERA’S Trip To Puerto Rico Opened His Eyes About “WICKED” and “NEGATIVE” Treatment Of Trump By LYING Media and Democrats;1;32
" Cher Drops An ENORMOUS Truth Bomb On Twitter; SLAMS Trump’s Cabinet (TWEET)";1;21
Inside ‘Bill Clinton Inc.’: Hacked memo reveals intersection of charity and personal income;1;19
Mysterious flaring X-ray objects in nearby galaxies may represent a new class of explosive cosmic event;1;21
As Second Avenue Subway Opens, a Train Delay Ends in (Happy) Tears - The New York Times;0;22
BREAKING: TRUMP Is About To Get A HUGE Unexpected Endorsement;1;13
